date,a_x,a_y,a_z,angx,angy,angz,pressure,flag
0,8.29,4.83,2.77,-89,-32,-172,21405.9,0
1.271,8.28,4.87,2.7,-91,-31,-171,21403.1,0
1.376,8.16,4.95,2.47,-94,-34,-171,21398.6,0
1.482,8.04,4.87,2.38,-91,-32,-169,21395.7,0
1.588,8.03,4.83,2.39,-88,-32,-171,21396.3,0
1.694,8.09,4.69,2.54,-87,-31,-171,21399.2,0
1.8,8.21,4.51,2.74,-87,-33,-173,21401.1,0
1.906,8.23,4.38,2.88,-81,-29,-172,21403.6,0
2.012,8.29,4.38,2.89,-77,-31,-173,21402.1,0
2.117,8.21,4.42,2.75,-83,-26,-172,21399.4,0
2.223,8.15,4.48,2.62,-84,-30,-177,21398.9,0
2.329,8.22,4.52,2.57,-84,-32,-173,21400.2,0
2.435,8.45,4.58,2.58,-82,-29,-174,21398.2,0
2.541,8.35,4.63,2.5,-85,-30,-173,21392.4,0
2.647,8.23,4.67,2.36,-86,-30,-169,21383.5,0
2.753,8.16,4.81,2.15,-90,-27,-170,21378,0
2.859,8.1,4.85,2.1,-90,-29,-171,21376.2,0
2.965,8.08,4.85,2.14,-86,-28,-171,21377.5,0
3.071,8.06,4.8,2.34,-85,-27,-174,21381.7,0
3.177,8.12,4.81,2.53,-82,-29,-175,21386.3,0
3.282,8.17,4.96,2.6,-81,-32,-174,21388.2,0
3.388,8.19,5.09,2.58,-86,-30,-172,21384.2,0
3.494,8.12,5.42,2.28,-88,-29,-173,21376.2,0
3.6,8.09,5.78,1.91,-93,-29,-168,21359.6,0
3.706,8.05,5.9,1.73,-94,-32,-166,21339.7,0
3.812,7.71,5.96,1.45,-101,-32,-167,21317.8,0
3.918,7.53,6,1.3,-98,-29,-166,21300.2,1
4.024,7.49,6.01,1.33,-96,-29,-167,21286.8,1
4.13,7.47,5.98,1.53,-99,-31,-170,21279.5,1
4.236,7.47,5.87,1.89,-86,-31,-171,21275,1
4.342,7.45,5.81,2.29,-85,-33,-173,21275.6,1
4.448,7.46,5.75,2.45,-83,-31,-171,21277.3,1
4.554,7.44,5.87,2.53,-85,-35,-174,21278.3,1
4.66,7.34,6.18,2.33,-86,-38,-173,21278.6,1
4.765,7.26,6.36,2.17,-89,-32,-172,21278.7,1
4.872,6.96,6.65,1.87,-89,-33,-173,21281.2,1
4.978,6.75,6.87,1.78,-90,-34,-171,21287.7,1
5.083,6.69,6.93,1.86,-90,-33,-169,21296.9,1
5.189,6.51,6.99,2.13,-84,-33,-174,21310,1
5.295,6.33,6.95,2.62,-80,-34,-175,21327.4,1
5.401,6.25,6.91,2.92,-74,-32,-176,21347,1
5.507,6.14,6.75,3.53,-64,-32,-176,21368.9,1
5.613,6.13,6.61,4.12,-57,-33,-173,21390.2,1
5.719,6.15,6.58,4.45,-53,-29,-177,21404.1,1
5.825,6.02,6.6,4.41,-48,-28,-174,21410.9,1
5.931,6.09,6.68,4.23,-47,-18,-174,21413.3,1
6.037,6.75,6.69,4.19,-44,-18,-170,21407.9,1
6.143,7.1,6.6,4.17,-35,-9,-170,21386.6,1
6.249,6.68,5.87,4.07,-33,-3,-165,21364.3,1
6.355,6.93,5.35,4.03,-24,-1,-161,21346.5,1
6.461,7.11,5.06,4.09,-16,1,-157,21334.7,1
6.567,7.28,4.51,4.18,-10,4,-152,21326.4,1
6.673,7.58,3.86,4.43,-4,5,-145,21322.1,1
6.779,7.64,3.6,4.56,1,10,-140,21319.9,1
6.885,7.77,3.12,4.85,5,7,-134,21320.9,1
6.991,7.79,2.76,5.16,5,12,-128,21317.3,1
7.097,7.86,2.4,5.62,13,11,-123,21309.9,1
7.203,7.65,2.3,5.79,11,15,-118,21296.8,1
7.309,7.29,2.11,6.21,10,17,-118,21279.8,1
7.415,7.21,1.87,6.65,13,14,-115,21258.9,1
